Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Participation_Score,Total_Score,Study_Hours_per_Week,Sleep_Hours_per_Night,Stress_Level (1-10),class
0.653730746,0.995165861,0.223778556,0.893778756,0.674734947,0.6512,0.916,0.666078513,0.732,0.78,0.444444444,1
0.094818964,0.025504251,0.144905786,0.192238448,0.949189838,0.992,0.217,0.392317288,0.752,0.62,0.111111111,0
0.318663733,0.899983331,0.184425546,0.087017403,0.362272454,0.901,0.379,0.486350712,0.152,0.88,1,0
0.99279856,0.004000667,0.063031516,0.627325465,0.734546909,0.2528,0.531,0.195652907,0.908,0.7,0.777777778,0
0.678335667,0.364227371,0.888777722,0.394278856,0.350870174,0.77,0.976,0.688780499,0.008,0.92,0.333333333,1
0.729945989,0.168694782,0.931298983,0.163032607,0.305061012,0.9368,0.535,0.626114027,0.436,0.76,0.888888889,1
0.212842569,0.757459577,0.586960147,0.117023405,0.201840368,0.9064,0.448,0.589779611,0.02,0.74,1,1
0.078615723,0.050675113,0.84075371,0.559111822,0.821164233,0.8846,0.584,0.684386203,0.524,0.86,0.555555556,1
0.276855371,0.553592265,0.183425046,0.300460092,0.25745149,0.7864,0.971,0.468043021,0.412,0.66,1,0
0.24864973,0.295049175,0.901950975,0.99759952,0.283256651,0.293,0.818,0.594735837,0.624,0.18,0.666666667,1
0.234446889,0.133688948,0.506419877,0.406081216,0.99919984,0.0836,0.169,0.266017824,0.768,0.08,0.222222222,0
0.192638528,0.771961994,0.067033517,0.212242448,0.327465493,0.4878,0.803,0.346430057,0.768,0.32,0.111111111,0
0.574714943,0.217536256,0.141237285,0.628925785,0.422884577,0.0548,0.841,0.19852999,0.724,0.82,0.111111111,0
0.328065613,0.223703951,0.308987827,0.24424885,0.99019804,0.9984,0.691,0.556502096,0.1,0.02,0.222222222,1
0.820364073,0.275045841,0.043355011,0.49409882,0.369473895,0.3584,0.657,0.230132953,0.416,0.16,0.666666667,0
0.183836767,0.586931155,0.309321327,0.482696539,0.366273255,0.9584,0.441,0.558581238,0.816,0.1,0.777777778,1
0.464492899,0.659776629,0.059863265,0.453690738,0.827965593,0.7732,0.642,0.496386788,0.656,0.04,0.333333333,0
0.013402681,0.017669612,0.235951309,0.796159232,0.312062412,0.4112,0.738,0.314343834,0.68,0.82,0.222222222,0
0.481496299,0.241873646,0.265632816,0.216643329,0.233846769,0.1184,0.123,0.095393295,0.228,0.28,0.666666667,0
0.055611122,0.431071845,0.994663999,0.904580916,0.423284657,0.2372,0.257,0.571685454,0.324,0.72,0.222222222,1
0.977795559,0.332055343,0.235451059,0.791558312,0.700740148,0.673,0.194,0.447791052,0.956,0.14,0.777777778,0
0.790558112,0.884314052,0.23911956,0.333266653,0.043208642,0.83,0.841,0.53524989,0.848,0.4,0.333333333,1
0.49009802,0.787797966,0.687010172,0.180636127,0.374074815,0.9794,0.68,0.71039234,0.164,0.12,0.777777778,1
0.086417283,0.625937656,0.859596465,0.279655931,0.346269254,0.1322,0.451,0.438002225,0.544,0,0.111111111,0
0.592318464,0.338056343,0.387026847,0.332666533,0.24484897,0.156,0.826,0.26823183,0.492,0.62,0.777777778,0
0.75875175,0.700783464,0.875937969,0.557111422,0.654330866,0.0424,0.717,0.539644186,0.444,0.48,0.777777778,1
0.190638128,0.843807301,0.340170085,0.046409282,0.290058012,0.2604,0.914,0.356657189,0.472,0.42,1,0
0.568113623,0.594932489,0.196931799,0.914582917,0.606921384,0.821,0.077,0.534923971,0.644,0.08,0.222222222,1
0.814162833,0.784630772,0.329664832,0.098619724,0.5045009,0.1982,0.509,0.307555715,0.968,0.58,0.111111111,0
0.768153631,0.749291549,0.609471402,0.279255851,0.217243449,0.5478,0.707,0.53299093,0.876,0.78,0.666666667,1
0.802960592,0.57176196,0.367183592,0.109221844,0.266653331,0.4464,0.207,0.301947651,0.876,0.06,0.888888889,0
0.879375875,0.312218703,0.673003168,0.25665133,0.170634127,0.3258,0.327,0.339394689,0.704,0.42,1,0
0.937587518,0.74595766,0.236951809,0.837767554,0.056611322,0.6184,0.419,0.474302925,0.016,0.32,0,0
0.405481096,0.206867811,0.701183925,0.615323065,0.619323865,0.5024,0.794,0.550478203,0.44,0.9,0.444444444,1
0.568713743,0.779629938,0.347507087,0.227445489,0.672934587,0.3348,0.494,0.397565718,0.512,0.26,0.222222222,0
0.790558112,0.804634106,0.455894614,0.871974395,0.166033207,0.6888,0.493,0.610065296,0.844,0.94,0.888888889,1
0.697139428,0.822303717,0.557778889,0.800960192,0.615523105,0.28,0.431,0.541712089,0.924,0.82,0.777777778,1
0.99559912,0.472912152,0.686343172,0.75375075,0.982196439,0.6432,0.229,0.647366232,0.452,0.1,0.888888889,1
0.013402681,0.192532089,0.23861931,0.847769554,0.074414883,0.9572,0.923,0.537486373,0.3,0.48,0.888888889,1
0.355071014,0.099683281,0.836251459,0.619723945,0.4904981,0.729,0.318,0.583485991,0.336,0.64,1,1
0.280856171,0.743457243,0.722027681,0.5015003,0.733146629,0.4184,0.567,0.605805864,0.58,0.6,0.222222222,1
0.26225245,0.88648108,0.234117059,0.374074815,0.046009202,0.7476,0.149,0.435642118,0.276,0.68,0.666666667,0
0.222444489,0.650941824,0.975320994,0.223844769,0.778355671,0.8092,0.434,0.747547174,0.912,0.42,0.444444444,1
0.709141828,0.144190698,0.664999166,0.557511502,0.979795959,0.3258,0.904,0.509187561,0.42,0.9,0.555555556,1
0.084616923,0.934989165,0.452559613,0.889577916,0.088417684,0.7052,0.995,0.691500242,0.992,0.28,0.777777778,1
0.74154831,0.989331555,0.157412039,0.594118824,0.822364473,0.4344,0.362,0.473257735,0.108,0.1,1,0
0.693338668,0.433405568,0.533266633,0.919783957,0.378675735,0.8186,0.154,0.598669349,0.188,0.98,0.777777778,1
0.25065013,0.594932489,0.164749041,0.357071414,0.144228846,0.2954,0.314,0.227548073,0.512,0.66,0.666666667,0
0.25265053,0.777296216,0.429548107,0.695339068,0.49329866,0.9378,0.327,0.66795536,0.868,0.66,0,1
0.628725745,0.736456076,0.408704352,0.648729746,0.071614323,0.5748,0.645,0.510783443,0.352,0.82,0,1
0.76215243,0.967994666,0.72019343,0.670534107,0.522304461,0.3534,0.496,0.625507142,0.836,0.42,0.555555556,1
0.876375275,0.114852475,0.192262798,0.645129026,0.019403881,0.4194,0.768,0.267074253,0.424,0.38,0.888888889,0
0.852170434,0.580763461,0.822077706,0.221644329,0.728745749,0.3478,0.701,0.550208476,0.852,0.94,0.777777778,1
0.964792959,0.692115353,0.326163082,0.143628726,0.48809762,0.1462,0.251,0.246878477,0.276,0.38,0,0
0.581316263,0.890315053,0.444055361,0.978795759,0.459091818,0.0684,0.784,0.497870284,0.472,0.08,0.777777778,0
0.908581716,0.874312385,0.772552943,0.045209042,0.196239248,0.3218,0.847,0.510963261,0.28,0.3,0.444444444,1
0.808561712,0.978163027,0.625479406,0.467893579,0.361272254,0.4586,0.598,0.590330303,0.216,0.88,0.111111111,1
0.894578916,0.512085348,0.307987327,0.425085017,0.181836367,0.3618,0.928,0.366142573,0.42,0.1,0.666666667,0
0.01140228,0.830971829,0.386193097,0.360072014,0.735547109,0.014,0.783,0.374695153,0.336,0.72,0.111111111,0
0.965993199,0.427404567,0.305819576,0.782156431,0.199039808,0.579,0.595,0.446206408,0.788,0.26,0.333333333,0
0.473494699,0.422403734,0.594964149,0.74554911,0.616923385,0.1448,0.906,0.471976534,0.748,0.74,0.333333333,0
0.798159632,0.253375563,0.332666333,0.905381076,0.279655931,0.211,0.6,0.326369143,0.36,0.52,0.444444444,0
0.127025405,0.818303051,0.725862931,0.395479096,0.657131426,0.1208,0.521,0.49031794,0.992,0.64,0.555555556,0
0.395879176,0.985997666,0.579956645,0.564312863,0.540508102,0.5204,0.356,0.606603805,0.972,0.24,0.111111111,1
0.271254251,0.256376063,0.145572786,0.892578516,0.423484697,0.0952,0.883,0.270693085,0.916,0.16,0.777777778,0
0.291458292,0.056176029,0.310321828,0.9939988,0.673134627,0.2564,0.123,0.299801077,0.588,0.06,0.888888889,0
0.123024605,0.815635939,0.221444055,0.969393879,0.415883177,0.4518,0.474,0.495734949,0.412,0.82,0.222222222,0
0.805761152,0.620270045,0.390361848,0.717943589,0.821564313,0.1678,0.537,0.427673946,0.312,0.72,0.666666667,0
0.0090018,0.959826638,0.516091379,0.143228646,0.729745949,0.4462,0.555,0.52742782,0.016,0.3,0.333333333,1
0.312462492,0.252208701,0.506920127,0.023204641,0.540708142,0.3428,0.652,0.315782376,0.632,0.84,1,0
0.174234847,0.071011835,0.754710689,0.825365073,0.877175435,0.8606,0.506,0.693815395,0.552,0.84,0.333333333,1
0.588917784,0.492582097,0.189094547,0.841168234,0.828965793,0.795,0.257,0.535620764,0.628,0.14,0,1
0.25405081,0.085514252,0.946806737,0.74654931,0.531906381,0.9928,0.857,0.793423167,0.576,0.72,0.444444444,1
0.25885177,0.261876979,0.342838086,0.280056011,0.068413683,0.529,0.658,0.316119534,0.136,0.3,0.555555556,0
0.48829766,0.126021004,0.300150075,0.639927986,0.566113223,0.5754,0.858,0.428955147,0.696,0.46,0.444444444,0
0.652530506,0.224204034,0.685342671,0.316263253,0.355271054,0.9466,0.276,0.560120927,0.36,0.44,0.555555556,1
0.121224245,0.106184364,0.805736201,0.450690138,0.540308062,0.3996,0.637,0.476415783,0.516,0.6,0.222222222,0
0.175435087,0.953992332,0.378522595,0.382476495,0.647329466,0.5556,0.714,0.565706515,0.364,0.34,0.111111111,1
0.24704941,0.278546424,0.747040187,0.913782757,0.644928986,0.379,0.383,0.545814181,0.02,0.08,0.444444444,1
0.973794759,0.443907318,0.883941971,0.234246849,0.673734747,0.5458,0.812,0.618550444,0.876,0.68,0.555555556,1
0.397079416,0.898816469,0.767050192,0.577715543,0.679335867,0.0808,0.003,0.481990133,0.148,0.96,1,0
0.598919784,0.677446241,0.034017009,0.361072214,0.109221844,0.7838,0.595,0.393171422,0.584,0.66,0.555555556,0
0.24144829,0.618103017,0.827580457,0.663132627,0.191838368,0.9852,0.614,0.778824217,0.884,0.54,0.444444444,1
0.49029806,0.705617603,0.774720694,0.564712943,0.630726145,0.0658,0.534,0.492464514,0.22,0.16,0.111111111,0
0.074014803,0.828971495,0.669501417,0.924184837,0.408281656,0.801,0.63,0.77621686,0.412,0.62,0,1
0.034606921,0.877812969,0.76021344,0.101620324,0.762952591,0.2418,0.167,0.477303633,0.376,0.62,1,0
0.468693739,0.642773796,0.979823245,0.220644129,0.125025005,0.1976,0.685,0.495465222,0.088,0.62,0.555555556,0
0.398479696,0.890148358,0.431215608,0.766553311,0.191638328,0.6934,0.336,0.588060104,0.424,0.9,0,1
0.136627325,0.53542257,0.067033517,0.368873775,0.558511702,0.0442,0.452,0.161937086,0.48,0.72,0,0
0.687537508,0.277379563,0.460897115,0.165833167,0.50090018,0.4632,0.333,0.329673294,0.028,0.78,0.555555556,0
0.9929986,0.880146691,0.046356512,0.5035007,0.266453291,0.0014,0.474,0.202609605,0.488,0.32,0,0
0.395479096,0.541590265,0.294313824,0.652330466,0.408481696,0.5544,0.622,0.461816833,0.092,0.28,0.111111111,0
0.624524905,0.90631772,0.586960147,0.044808962,0.035007001,0.462,0.838,0.482967891,0.892,0.2,0,0
0.962992599,0.040173362,0.309654827,0.291658332,0.037007401,0.9154,0.483,0.369132042,0.652,0.78,0.666666667,0
0.831566313,0.397566261,0.685509421,0.809561912,0.095019004,0.7202,0.323,0.57809146,0.056,0.7,0.333333333,1
0.463492699,0.947991332,0.822244456,0.520304061,0.576915383,0.126,0.488,0.559098214,0.828,0.34,0.333333333,1
0.737347469,0.249708285,0.420543605,0.035407081,0.863972795,0.3546,0.689,0.33268524,0.36,0.14,0.333333333,0
0.128025605,0.941656943,0.900450225,0.282056411,0.26025205,0.9316,0.347,0.764202789,0.224,0.84,0.444444444,1
0.51210242,0.953992332,0.07970652,0.639327866,0.034006801,0.7254,0.414,0.462918217,0.252,0.38,0.888888889,0
0.278855771,0.882313719,0.84042021,0.199439888,0.708741748,0.5942,0.563,0.678957956,0.596,0.18,0.444444444,1
0.161032206,0.563760627,0.828747707,0.827565513,0.855571114,0.559,0.294,0.690859641,0.08,0.14,1,1
0.426085217,0.647107851,0.32199433,0.676735347,0.138227646,0.398,0.209,0.367086616,0.06,0.92,0.111111111,0
0.130826165,0.869811635,0.298649325,0.471494299,0.385877175,0.5852,0.14,0.452859664,0.628,0.14,0.777777778,0
0.698939788,0.77596266,0.305152576,0.915783157,0.158831766,0.7716,0.353,0.572224907,0.98,0.36,0.777777778,1
0.456091218,0.630271712,0.811572453,0.391878376,0.106421284,0.1276,0.048,0.367817125,0.484,0.64,0.888888889,0
0.531106221,0.982497083,0.831915958,0.235047009,0.648329666,0.9698,0.583,0.824452961,0.412,0.4,0.333333333,1
0.146229246,0.685780963,0.329664832,0.661532306,0.967793559,0.2394,0.176,0.410962137,0.948,0.48,0.222222222,0
0.139627926,0.97566261,0.592796398,0.573314663,0.678335667,0.4478,0.377,0.603726722,0.24,0.8,1,1
0.583316663,0.05734289,0.138902785,0.335267053,0.984996999,0.0228,0.269,0.103934636,0.24,1,0.555555556,0
0.984996999,0.139023171,0.468901117,0.343668734,0.434486897,0.5504,0.63,0.389676216,0.904,0.46,0,0
0.096019204,0.451575263,0.99916625,0.398279656,0.897979596,0.3818,0.85,0.660751413,0.648,0.38,0.555555556,1
0.285657131,0.384897483,0.15874604,0.291258252,0.205041008,0.2498,0.633,0.1992605,0.052,0.4,0.444444444,0
0.869373875,0.782797133,0.947807237,0.710342068,0.118023605,0.9856,0.543,0.84446892,0.672,0.36,0,1
0.072014403,0.160693449,0.824578956,0.651530306,0.702740548,0.4282,0.669,0.55913193,0.82,0.48,0.555555556,1
0.875775155,0.976329388,0.972486243,0.440888178,0.371474295,0.4142,0.03,0.624686724,0.272,0.34,0.222222222,1
0.524104821,0.315052509,0.179423045,0.397879576,0.317663533,0.4632,0.123,0.237359377,0.384,0.46,0.777777778,0
0.408081616,0.429071512,0.213440053,0.365073015,0.671334267,0.1162,0.095,0.185953989,0.196,0.94,0.222222222,0
0.309461892,0.274712452,0.016675004,0.283456691,0.333466693,0.393,0.098,0.13036784,0.632,0.28,0.222222222,0
0.297059412,0.579429905,0.724862431,0.085617123,0.572714543,0.3364,0.26,0.423313366,0.664,0.66,0.666666667,0
0.305661132,0.058676446,0.644322161,0.268253651,0.299459892,0.4652,0.532,0.364917565,0.068,0.48,0,0
0.884776955,0.149691615,0.177922294,0.321264253,0.783956791,0.8566,0.115,0.374627721,0.676,0.74,1,0
0.723744749,0.74595766,0.791395698,0.547709542,0.312462492,0.1928,0.935,0.55550186,0.66,0.48,1,1
0.669733947,0.186531089,0.299149575,0.773954791,0.535107021,0.6078,0.854,0.470436845,0.036,0.16,0.777777778,0
0.798759752,0.235539257,0.134900784,0.395879176,0.023204641,0.0376,0.972,0.124771013,0.556,0.88,0.333333333,0
0.25705141,0.793132189,0.422544606,0.944988998,0.791958392,0.3168,0.043,0.503141191,0.612,0.68,0.444444444,1
0.617923585,0.093348891,0.090878773,0.827565513,0.620524105,0.4726,0.851,0.354117264,0.432,0.52,0.444444444,0
0.459891978,0.437572929,0.263131566,0.984996999,0.192238448,0.0742,0.804,0.320592499,0.9,0.84,0.333333333,0
0.782356471,0.023003834,0.371352343,0.876375275,0.215443089,0.544,0.902,0.426920959,0.328,0.98,0,0
0.309061812,0.346891149,0.852092713,0.616923385,0.26245249,0.3104,0.528,0.495195496,0.068,0.4,0.222222222,0
0.643128626,0.699116519,0.792729698,0.598519704,0.576715343,0.9928,0.788,0.837939289,0.672,0.36,0.777777778,1
0.882176435,0.090181697,0.442888111,0.129625925,0.548509702,0.631,0.051,0.309870868,0.604,0.76,0.111111111,0
0.402080416,0.888481414,0.724695681,0.722544509,0.273854771,0.2442,0.076,0.507771497,0.988,0.46,0.777777778,1
0.066413283,0.909651609,0.568784392,0.600320064,0.694138828,0.1026,0.119,0.443228177,0.232,0.08,0.333333333,0
0.515903181,0.105017503,0.340837085,0.50710142,0.889177836,0.0408,0.915,0.278492678,0.396,0.36,0.888888889,0
0.345869174,0.990831805,0.726029682,0.693338668,0.043608722,0.0908,0.061,0.444722912,0.46,0.8,0.777777778,0
0.672134427,0.297549592,0.683675171,0.444088818,0.417283457,0.68,0.1,0.493239978,0.86,0.7,0.777777778,0
0.950990198,0.084180697,0.619309655,0.523904781,0.593718744,0.855,0.93,0.613953854,0.416,0.86,0.333333333,1
0.485497099,0.005000833,0.618142405,0.398479696,0.586517303,0.1568,0.107,0.247698895,0.772,0.14,0.111111111,0
0.466093219,0.408568095,0.683174921,0.717543509,0.019603921,0.4022,0.87,0.509805684,0.156,0.24,0.777777778,1
0.654530906,0.629938323,0.384525596,0.876775355,0.210642128,0.3542,0.789,0.476955237,0.408,0.22,0.666666667,0
0.103220644,0.332222037,0.869267967,0.840968194,0.061812362,0.6446,0.04,0.57106733,0.156,0.98,0.111111111,1
0.25345069,0.836806134,0.162247791,0.786157231,0.569113823,0.1826,0.022,0.324840693,0.948,0.16,0.666666667,0
0.918983797,0.716786131,0.884108721,0.013802761,0.645529106,0.9534,0.534,0.739657672,0.176,0.6,0,1
0.669933987,0.350225038,0.342337836,0.911982396,0.159831966,0.7286,0.997,0.555996359,0.42,0.64,0.555555556,1
0.013202641,0.734455743,0.124895781,0.274854971,0.333066613,0.955,0.879,0.535587049,0.084,0.62,0.666666667,1
0.204440888,0.940656776,0.6001334,0.888177636,0.329865973,0.2774,0.31,0.548050664,0.92,0.7,0.111111111,1
0.682736547,0.093182197,0.376021344,0.197039408,0.819963993,0.5878,0.386,0.352892255,0.624,0.48,0.111111111,0
0.764352871,0.306217703,0.815741204,0.439687938,0.194638928,0.7322,0.388,0.563706043,0.964,0.08,0.777777778,1
0.839767954,0.463410568,0.430882108,0.74954991,0.548509702,0.711,0.734,0.589532362,0.044,0.7,0.111111111,1
0.292058412,0.498083014,0.668667667,0.640328066,0.783156631,0.0214,0.341,0.407961429,0.176,0.28,1,0
0.930986197,0.542257043,0.308320827,0.416083217,0.829765953,0.9982,0.148,0.570550355,0.38,0.08,0.111111111,1
0.552910582,0.300716786,0.209438052,0.678735747,0.666733347,0.928,0.747,0.557974353,0.62,0.16,0.444444444,1
0.696539308,0.667444574,0.388027347,0.549109822,0.299659932,0.1198,0.458,0.324267524,0.328,0.28,0.333333333,0
0.596719344,0.645274212,0.606970152,0.275855171,0.823164633,0.5436,0.077,0.506400387,0.712,0.44,0,1
0.122624525,0.577929655,0.657161914,0.646529306,0.74234847,0.3146,0.79,0.566009957,0.164,0.86,0.777777778,1
0.963192639,0.113852309,0.578289145,0.204240848,0.704540908,0.8788,0.585,0.533957451,0.6,0.54,0.333333333,1
0.122624525,0.477079513,0.988327497,0.694138828,0.067413483,0.6976,0.489,0.684700884,0.396,0.48,0.888888889,1
0.25465093,0.356226038,0.691345673,0.00320064,0.043208642,0.2236,0.673,0.30186898,0.508,0.2,0.111111111,0
0.813562713,0.491081847,0.931799233,0.548909782,0.695539108,0.0338,0.505,0.4925769,0.568,0.96,0.111111111,0
0.618523705,0.921986998,0.117892279,0.401080216,0.944988998,0.2918,0.648,0.411625215,0.06,0.9,0.555555556,0
0.838167634,0.480580097,0.061197265,0.303260652,0.773954791,0.0382,0.867,0.206644264,0.924,0.82,0.111111111,0
0.515703141,0.014002334,0.310988828,0.515903181,0.831566313,0.1414,0.614,0.245125254,0.788,0.32,0.111111111,0
0.376875375,0.438906484,0.136568284,0.645529106,0.545109022,0.6362,0.66,0.433945088,0.444,0.56,0.555555556,0
0.921784357,0.820803467,0.525929631,0.965593119,0.304660932,0.745,0.614,0.700839524,0.548,0.38,0.555555556,1
0.036007201,0.780130022,0.51909288,0.833166633,0.677935587,0.468,0.531,0.60721069,0.032,0.4,0.777777778,1
0.856171234,0.513418903,0.575120894,0.717343469,0.712142428,0.6002,0.172,0.560694096,0.496,0.08,1,1
0.230646129,0.249874979,0.745372686,0.479095819,0.675535107,0.1558,0.336,0.389091808,0.428,0.14,0,0
0.848769754,0.465244207,0.971652493,0.392278456,0.946989398,0.3168,0.693,0.619179806,0.376,0.96,0,1
0.139027806,0.563760627,0.87860597,0.032606521,0.367273455,0.7128,0.425,0.585385316,0.816,0.62,0.666666667,1
0.580116023,1,0.11822578,0.359071814,0.039607922,0.3648,0.406,0.316119534,0.18,0,0.888888889,0
0.888177636,0.644274046,0.338502585,0.848569714,0.908581716,0.3488,0.759,0.532822351,0.176,0.8,0.666666667,1
0.473494699,0.694449075,0.255794564,0.384076815,0.160432086,0.194,0.006,0.215927354,0.52,0.08,0.333333333,0
0.74654931,0.49158193,0.176755044,0.461692338,0.697539508,0.5948,0.679,0.432461592,0.688,0.7,0.888888889,0
0.804560912,0.354559093,0.544772386,0.271854371,0.873374675,0.8096,0.489,0.567594601,0.024,0.62,0.555555556,1
0.736347269,0.813135523,0.553443388,0.274254851,0.310262052,0.4694,0.377,0.473111633,0.544,0.06,1,0
0.925385077,0.495082514,0.227113557,0.061812362,0.830566113,0.1156,0.341,0.198136639,0.3,0.54,0,0
0.446689338,0.994832472,0.712022678,0.613922785,0.332066413,0.8384,0.173,0.724485553,0.756,0.04,0.555555556,1
0.173034607,0.457242874,0.733033183,0.448089618,0.794358872,0.0714,0.334,0.406320592,0.468,0.06,1,0
0.047609522,0.068011335,0.020843755,0.606121224,0.069813963,0.4718,0.391,0.174220884,0.836,0.06,0.555555556,0
0.24624925,0.682613769,0.395864599,0.546909382,0.655331066,0.261,0.437,0.414816979,0.396,0.26,0,0
0.143028606,0.046674446,0.890445223,0.798959792,0.677335467,0.9364,0.672,0.751941469,0.828,0.8,0.777777778,1
0.557911582,0.250541757,0.52042688,0.75115023,0.4914983,0.7376,0.454,0.548016948,0.716,0.36,0.444444444,1
0.184836967,0.353725621,0.347673837,0.771554311,0.687137427,0.5664,0.796,0.516807337,0.828,0.64,0.333333333,1
0.038807762,0.739623271,0.253626813,0.49929986,0.923384677,0.6678,0.64,0.560480563,0.812,0.12,1,1
0.035807161,0.494249042,0.243288311,0.353870774,0.733946789,0.5328,0.19,0.365479495,0.488,0.94,0,0
0.831566313,0.028671445,0.099716525,0.933586717,0.961392278,0.1476,0.277,0.226098293,0.368,0.5,0.444444444,0
0.591318264,0.616936156,0.817408704,0.054210842,0.448689738,0.709,0.079,0.548140572,0.764,0.02,0,1
0.357871574,0.411568595,0.086543272,0.152630526,0.528305661,0.4926,0.946,0.310320413,0.36,0.54,0.222222222,0
0.894178836,0.921986998,0.292312823,0.419683937,0.263852771,0.6344,0.887,0.539374459,0.088,0.18,1,1
0.070014003,0.499583264,0.045522761,0.614122825,0.985797159,0.0452,0.085,0.195877679,0.86,0.2,0,0
0.980396079,0.709118186,0.781557445,0.00820164,0.055211042,0.142,0.574,0.367199002,0.396,0.6,1,0
0.616123225,0.218869812,0.03918626,0.719543909,0.358671734,0.5894,0.96,0.36608638,0.132,0.22,0.222222222,0
0.183236647,0.761126854,0.308320827,0.558911782,0.297659532,0.4594,0.747,0.464761348,0.648,0.22,0.111111111,0
0.678935787,0.721120187,0.573453393,0.484896979,0.386677335,0.2268,0.492,0.436462536,0.888,0.54,0.333333333,0
0.763352671,0.904150692,0.409538102,0.423484697,0.917983597,0.2408,0.241,0.444104789,0.86,0.24,0.666666667,0
0.429285857,0.033838973,0.282307821,0.519503901,0.368073615,0.6316,0.279,0.315625035,0.556,0.12,0,0
0.861572314,0.447574596,0.275137569,0.161832366,0.917183437,0.059,0.736,0.25661111,0.088,0.4,0.666666667,0
0.150630126,0.67927988,0.7980657,0.108821764,0.423484697,0.4342,0.781,0.546848133,0.696,0.06,0.555555556,1
0.278655731,0.09518253,0.974320494,0.289657932,0.854970994,0.5232,0.529,0.568752177,0.608,0.9,0.333333333,1
0.093218644,0.410735123,0.348007337,0.709741948,0.521904381,0.3082,0.121,0.336551321,0.212,0.46,0.888888889,0
0.210642128,0.942323721,0.03901951,0.588317664,0.311462292,0.8206,0.934,0.559963587,0.9,0.02,0.666666667,1
0.23864773,0.436072679,0.036351509,0.480296059,0.449489898,0.0568,0.845,0.186448488,0.088,0.22,1,0
0.917583517,0.985497583,0.75937969,0.571714343,0.424484897,0.8658,0.141,0.747468504,0.372,0.96,1,1
0.078015603,0.056842807,0.552442888,0.559311862,0.26005201,0.7232,0.057,0.411816271,0.096,0.5,0.444444444,0
0.427285457,0.717952992,0.783891946,0.307061412,0.289657932,0.4462,0.536,0.544780229,0.912,0.36,0.111111111,1
0.532306461,0.581096849,0.697682174,0.097419484,0.186437287,0.9244,0.284,0.574023084,0.036,0.32,0,1
0.898579716,0.500583431,0.907787227,0.896979396,0.336067213,0.7022,0.283,0.705087717,0.424,0.42,0.111111111,1
0.99759952,0.970995166,0.886109722,0.600120024,0.624524905,0.931,0.087,0.830420661,0.86,0.22,0.888888889,1
0.75335067,0.129688281,0.788560947,0.697939588,0.386677335,0.4726,0.953,0.559918632,0.252,0.74,0.111111111,1
0.970794159,0.896149358,0.475237619,0.464092819,0.712542509,0.453,0.83,0.586127064,0.104,0.5,0.444444444,1
0.787157431,0.69128188,0.308154077,0.75655131,0.987197439,0.5308,0.114,0.514301127,0.128,0.76,0.777777778,1
